"id","measure_type","evidence","source_ku_id"
"measure_dcb6025eeea1","treatment","结构失稳(含整体失稳、倾覆、倒塌、严重开裂等) 重力式挡土墙 支撑墙、抗滑桩加固、拆除重建","KU_JTG_5150_2020__9.3.2_e5f6g7h8"
"measure_0826e945df66","treatment","桩板式挡土墙 锚固 抗滑桩加固","KU_JTG_5150_2020__9.3.2_i9j0k1l2"
"measure_819bc7c49123","treatment","发生倾覆、坍塌等结构失效情况时,应查明原因,及时进行加固或拆除重建。","KU_JTG_5150_2020_9.3.3_8a7b6c5d"
"measure_f3b1fc9c525d","treatment","挡土墙基础尺寸或地基承载力不满足要求时,宜采用加大截面法、注浆加固法、截排水加固法等措施。","KU_JTG_5150_2020_9.3.4_8a7b6c5d"
"measure_a3651486f0b9","treatment","挡土墙基础嵌固段外侧岩土体的水平抗力不满足要求时,可采用增设锚杆、抗滑桩以及注浆加固等措施。","KU_JTG_5150_2020_9.3.5_8a7b6c5d"
"measure_3c3e17d24449","treatment","挡土墙的泄水孔堵塞时,应及时疏通;无法疏通时,应选择适当位置增设泄水孔,或在挡土墙背后增设排水设施。","KU_JTG_5150_2020_9.3.6_8a7b6c5d"
"measure_ac923963824d","treatment","锚固结构发生严重应力松弛时,宜采用预应力锚索(杆)二次补张拉或新增锚索(杆)补强法进行维修加固;","KU_JTG_5150_2020_9.4.1_8a7b3c2d"
"measure_ff53bddbdaf1","treatment","发生锚固结构断裂或内锚固端失效滑移时,应在邻近位置增设新的锚固结构。","KU_JTG_5150_2020_9.4.1_f1e2d3c4"
"measure_7fa7d422f7fe","treatment","锚固结构发生锚头严重锈蚀、封锚混凝土破坏时,应及时进行锚头防腐处理,修复封锚混凝土。","KU_JTG_5150_2020_9.4.3_8a7b6c5d"
"measure_fb33c3f56d97","treatment","发生地梁、框架脱空、开裂时,宜采用浅层注浆法、加大截面法、新增框架结构或预应力锚索(杆)进行维修加固。","KU_JTG_5150_2020_9.4.4_8a7b6c5d"
"measure_ccdf01099ef3","treatment","应根据具体情况采用填充修补、注浆、表面封闭等方法进行养护处治。","KU_JTG_5150_2020_9.5.1_e4f3g2h1"
"measure_5a2608f97d69","treatment","抗滑桩发生结构性拉裂、侧向稳定性不足时,可采用增加预应力锚索方法进行补强。","KU_JTG_5150_2020_9.5.2_8a7b6c5d"
"measure_c77c826d0c44","treatment","出现抗滑桩倾斜、滑移时,应及时增设预应力锚索框架或补桩。","KU_JTG_5150_2020_9.5.3_8f1a2b3c"
"measure_b9311fba1040","treatment","发生混凝土或钢筋被剪断或折断等结构性破坏,或对原有的抗滑桩采用结构补强后不能恢复至设计要求的抗滑能力时,可采用增设钢筋混凝土抗滑桩或钢管抗滑桩、注浆、增设预应力锚索(杆)等措施进行加固处治。","KU_JTG_5150_2020_9.5.4_8a7b2c1d"
"measure_3fc28a8f196b","treatment","应及时清淤和修复。","KU_JTG_5150_2020_10.2.1_b8c9d0e1"
"measure_812ec4cabbbb","treatment","土质边沟受水流冲刷造成纵坡大于 3%时,宜采用混凝土、浆砌或干砌片(块)石铺砌;","KU_JTG_5150_2020_1_8a7b3c9d"
"measure_2f207ac3c2d2","treatment","雨季前应及时清理盖板边沟、更换破损的盖板,盖板设置不得影响路面的排水功能。","KU_JTG_5150_2020_3_8a7b2c1d"
"measure_cb288af7c1d1","treatment","泄水槽损坏时应及时修复,防止水集中冲刷涵洞。","KU_JTG_5150_2020_10.2.4_8f3a1b2c"
"measure_89b8871f6ed7","treatment","进出口冲刷现象严重时,进水口应进行防护加固,出水口应进行加固或设置消力池。","KU_JTG_5150_2020_1_8a9b2c3d"
"measure_7b6005a7d515","treatment","蒸发池的隔离栅或安全警示牌出现缺失或破损时,应及时修复。","KU_JTG_5150_2020_10.2.7_8a9b2c1d"
"measure_e5d4ef1a2e3a","treatment","积雪融化造成的蒸发池积水应及时排出。","KU_JTG_5150_2020_10.2.7_f3e4a7b8"
"measure_7fe85dafecda","treatment","油水分离池、检查井出入口出现淤塞时,应及时进行清掏。","KU_JTG_5150_2020_10.2.8_4e8a2b1c"
"measure_76ea62a43d2c","treatment","安全警示设施缺失时,应及时补设。","KU_JTG_5150_2020_10.2.8_9f3d7a6e"
"measure_f2cbe1daa3c1","treatment","当地下排水设施堵塞、淤积、损坏时,应及时清理维修。","KU_JTG_5150_2020_10.3.1_8f1a2b3c"
"measure_4ffacc39c933","treatment","暗管排水进出口应定期清除杂草和淤积物。","KU_JTG_5150_2020_2_8a7b3c9d"
"measure_e0a5716f2cf4","treatment","边沟排水暗管由于边坡位移等原因发生变形开裂时,应及时采取加固或更换措施。","KU_JTG_5150_2020_4_8e9f2a1c"
"measure_6469c8e4050b","treatment","反滤层和顶部封闭层失效时,应及时翻修。","KU_JTG_5150_2020_10.3.3_6a7b8c9d"
"measure_53a48feedb6a","treatment","应加强渗井、渗水隧洞出水口的除草、清淤和坑洼填平等工作。","KU_JTG_5150_2020_1_8a7b2c1d"
"measure_6bd21114ac38","treatment","寒冷地区保温设施失效时,应及时更换或维修。","KU_JTG_5150_2020_1_3e9f4a2b"
"measure_c8ad613ec79f","treatment","渗井周围路基发生渗漏时,应进行防渗处理,井内的淤泥应及时清除。","KU_JTG_5150_2020_2_1f2e4a8c"
"measure_7bf4ef2fbdab","treatment","发现渗井设置不合理或功能失效时,应及时改造。","KU_JTG_5150_2020_2_5d6b9e2f"
"measure_990b75b142dd","treatment","土质潮湿或地下水发育的挖方路段,若边坡排水性能不良或缺乏排水设施,宜在边坡上增设支撑渗沟或仰斜式排水孔,边沟下应增设纵向排水渗沟,填挖交界处应增设横向排水渗沟。","KU_JTG_5150_2020_5_8a9b2c1d"
"measure_6940c54cf467","treatment","路堑坡顶之外3~5m范围的表层膨胀土若未进行处理或防渗措施失效时,应采取换填非膨胀土、铺设防渗土工膜等防渗封闭处理措施。","KU_JTG_5150_2020_6_8a7b3c9d"
"measure_cc3a3a1ba6f6","treatment","现有排水设施出现破损、渗漏、淤塞等病害时,应及时维修处理,排水设施接缝处应坚固不渗漏。","KU_JTG_5150_2020_3_8a9b2c1d"
"measure_e8e89ebfbbb0","treatment","湿陷性黄土路基防排水设施不完整或缺乏时,应根据需要增设防冲刷、防渗漏等措施拦截、排除地表水。","KU_JTG_5150_2020_2_8a9b2c3d"
"measure_626c7a7d1730","treatment","当洞的体积较大或深度较深时,宜采用构造物跨越;","KU_JTG_5150_2020_2_4e5f6g7h"
"measure_859b94fc34d3","treatment","溶洞连通且较小的岩溶发育区,可采用注浆或托底灌浆技术。","KU_JTG_5150_2020_2_1i2j3k4l"
"measure_ce8d624cb636","treatment","截水沟、挡水埝因冰冻厚度过大不能满足挡水要求时,应及时进行清理、疏通,防止冰水溢出形成路面聚冰。","KU_JTG_5150_2020_2_8a9b2c1d"
"measure_5e828a147d4a","treatment","挖方边坡有地下水出露时,对潮湿的土质边坡可设置支撑渗沟,对集中的地下水出露处设置仰斜式排水孔。","KU_JTG_5150_2020_1_8a9b2c1d"
"measure_c7c3c98374de","treatment","季节性冻土路基的冻胀、软弹、变形、裂缝及翻浆病害可采用换填非冻胀性材料、铺设保温层和防冻层等措施进行处治,并应加强排水。","KU_JTG_5150_2020_11.7.6_8a9b2c1d"
"measure_fdddbd95efd1","treatment","挖方路基的土质边坡发生融沉时应进行加固,铺砌厚度应满足设计和保温要求;","KU_JTG_5150_2020_4_8a7b2c1d"
"measure_a69d7523ff62","treatment","饱冰冻土、含土冰层地段路堑,可根据要求换填足够厚度且水稳性好的填料。","KU_JTG_5150_2020_4_3e9f4a2b"
"measure_3743a98e93c7","treatment","如果外露段出现裂缝和露筋等现象,需要进行修复处理。","KU_JTG_5150_2020_9.5.2_f1e2d3c4"
"measure_3cb2e1f3f835","treatment","春融特别是汛前,需要对排水设施进行全面检査、疏浚,及时排除堵塞物,疏导水流,保证排水设施水流畅通。","KU_JTG_5150_2020_10.1.1_6a7b8c9d"
"measure_c7a778162cd0","treatment","暴雨后也要重点检查,如有冲刷、损坏,及时维修加固。","KU_JTG_5150_2020_10.1.1_e1f2g3h4"
"measure_5f1a51576a64","treatment","发现破坏需要进行维修或重修。","KU_JTG_5150_2020_10.3.1_f3e7a9b2"
